jade;#006347;
emerald;#215517;
army green;#425d10;
gumdrop green;#608921;
green;#89b524;
kelly green;#509d28;
aquamarine;#019477;
lagoon;#63ba97;
seafoam;#97d0a7;
spearmint;#abd6a8;
lime;#bcda78;
pear;#e7e84f;
chartreuse;#af9f01;
teal;#0091a0;
turquoise;#54b9c1;
pool;#aedcda;
baby blue;#bbdaf6;
ice blue;#7aa6d7;
steel blue;#386373;
iris;#5c589d;
cornflower;#5173bd;
royal blue;#1d57a9;
navy blue;#082f6d;
plum;#411747;
purple;#56187d;
beet;#79127f;
orchid;#9c58a1;
lavendar;#a8a2d2;
peach;#eea187;
rose pink;#de8277;
light pink;#eda7c1;
mauve;#d38895;
dark red;#ac0123;
red;#cd0027;
coral;#dd3f4e;
magenta;#b91655;
hot pink;#db2879;
peony;#dd6ba7;
dark orange;#df4018;
tangerine;#e47a0a;
orange;#ef9f26;
gold;#f7c003;
lemon;#ffe001;
butter;#fee469;
chocolate;#411c01;
mocha;#5f3401;
