Mexico;;pink;#ff81c0;
South Africa;black;#000000;
South Korea;dark mustard;#a88905;
Czech Republic;magenta;#c20078;
Canada;wheat;#fbdd7e;
Bosnia and H.;darkgreen;#054907;
Qatar;aquamarine;#04d8b2;
Switzerland;sage;#87ae73;
Brazil;fuchsia;#ed0dd9;
Morocco;crimson;#8c000f;
Haïti;azure;#069af3;
Scotland;lightblue;#7bc8f6;
United States;gold;#dbb40c;
Paraguay;tan;#d1b26f;
Australia;ivory;#ffffcb;
Turkey;dark beige;#ac9362;
Germany;blue;#0343df;
Curaçao;grey;#929591;
Ivory Coast;emerald;#01a049;
Ecuador;light khaki;#e6f2a2;
Netherlands;lime;#aaff32;
Japan;orange;#f97306;
Sweden;sienna;#a9561e;
Tunisia;purple;#7e1e9c;
Belgium;olive;#6e750e;
Egypt;aqua;#13eac9;
Iran;red;#e50000;
New Zealand;brown;#653700;
Spain;tomato;#ef4026;
Cape Verde;turquoise;#06c2ac;
Saudi Arabia;salmon;#ff796c;
Uruguay;cyan;#00ffff;
France;nice blue;#107ab0;
Senegal;violet;#9a0eea;
Iraq;lavender;#c79fef;
Norway;toxic green;#61de2a;
Argentina;indigo;#380282;
Algeria;goldenrod;#fac205;
Austria;light maroon;#a24857;
Jordan;sunny yellow;#fff917;
Portugal;white;#ffffff;
Congo DR;light plum;#9d5783;
Uzbekistan;teal;#029386;
Colombia;khaki;#aaa662;
England;silver;#c5c9c7;
Croatia;dark coral;#cf524e;
Ghana;orchid;#c875c4;
Panama;lightgreen;#76ff7b;
